"id","character_id","item_id","round_id","update_date","create_date"
1,0,27,1,"0001-01-01 00:00:00 +00:00","0001-01-01 00:00:00 +00:00"
2,0,27,1,"0001-01-01 00:00:00 +00:00","0001-01-01 00:00:00 +00:00"
3,0,27,1,"0001-01-01 00:00:00 +00:00","0001-01-01 00:00:00 +00:00"
4,0,27,1,"0001-01-01 00:00:00 +00:00","0001-01-01 00:00:00 +00:00"
5,0,27,1,"0001-01-01 00:00:00 +00:00","0001-01-01 00:00:00 +00:00"
6,0,27,1,"0001-01-01 00:00:00 +00:00","0001-01-01 00:00:00 +00:00"
7,0,27,1,"0001-01-01 00:00:00 +00:00","0001-01-01 00:00:00 +00:00"
8,0,27,1,"0001-01-01 00:00:00 +00:00","0001-01-01 00:00:00 +00:00"
9,0,27,1,"0001-01-01 00:00:00 +00:00","0001-01-01 00:00:00 +00:00"
10,0,27,1,"0001-01-01 00:00:00 +00:00","0001-01-01 00:00:00 +00:00"
